,zone,province,type,2545,2547,2549,2550,2552,2554,2556,2558,2560,group
32,ภาคกลาง,พระนครศรีอยุธยา,เพื่อใช้ในการศึกษา,0.0,0.0,1092,1872,2965,937.5,0.0,926.4,649.38,3
33,ภาคกลาง,พระนครศรีอยุธยา,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,18099.24,17689,15178,98470,26461.3,57480.9,82585.2,127767.34,2
34,ภาคกลาง,พระนครศรีอยุธยา,อื่น ๆ,15.52,3169.48,1850,2794,812,60.2,20.3,69.3,0.0,3
35,ภาคกลาง,อ่างทอง,หนี้สินทั้งสิ้น,29021.32,43598.45,118556,105430,309494,133918.0,212497.7,132829.3,117941.63,1
36,ภาคกลาง,อ่างทอง,เพื่อใช้จ่ายในครัวเรือน,14330.33,17020.02,26066,31929,40868,53211.9,94697.8,52689.4,76107.91,2
37,ภาคกลาง,อ่างทอง,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,4268.41,4580.54,16330,25416,179680,13690.0,28921.8,22275.8,5920.44,0
38,ภาคกลาง,อ่างทอง,เพื่อใช้ทำการเกษตร,8199.62,10128.12,22825,9626,30642,32480.9,29940.0,17828.1,16789.48,0
39,ภาคกลาง,อ่างทอง,เพื่อใช้ในการศึกษา,0.0,0.0,3909,1857,3713,3797.4,3261.0,167.0,1901.15,3
40,ภาคกลาง,อ่างทอง,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,10591.88,42418,34471,50997,27220.7,50112.7,39759.9,16691.33,0
41,ภาคกลาง,อ่างทอง,อื่น ๆ,2222.96,1277.86,7008,2133,3594,3517.2,5564.4,109.1,531.32,3
42,ภาคกลาง,ลพบุรี,หนี้สินทั้งสิ้น,57244.98,141603.47,162620,140722,329812,87008.8,97449.2,92473.7,69611.48,1
43,ภาคกลาง,ลพบุรี,เพื่อใช้จ่ายในครัวเรือน,37486.46,48196.13,43578,37265,6375,32819.5,34876.1,47376.1,29103.02,0
44,ภาคกลาง,ลพบุรี,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,3276.36,30612.85,31617,35872,565,4481.9,1718.3,2235.4,6411.67,3
45,ภาคกลาง,ลพบุรี,เพื่อใช้ทำการเกษตร,15975.88,28240.46,30578,22795,320118,33620.3,40284.5,27121.5,18083.09,2
46,ภาคกลาง,ลพบุรี,เพื่อใช้ในการศึกษา,0.0,0.0,1016,300,0,830.9,24.1,0.0,0.0,3
47,ภาคกลาง,ลพบุรี,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,33422.17,49680,38913,2754,15256.3,20546.2,15740.7,16013.71,0
48,ภาคกลาง,ลพบุรี,อื่น ๆ,506.27,1131.84,6151,5576,0,0.0,0.0,0.0,0.0,3
49,ภาคกลาง,สิงห์บุรี,หนี้สินทั้งสิ้น,82645.11,100573.17,88518,76219,55605,133377.9,151449.6,168239.2,187918.48,1
50,ภาคกลาง,สิงห์บุรี,เพื่อใช้จ่ายในครัวเรือน,38522.49,32049.98,21923,32929,32311,57079.2,75220.8,92747.9,94013.96,2
51,ภาคกลาง,สิงห์บุรี,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,30180.42,15478.87,14704,9580,6013,16258.9,13087.1,21608.2,67439.38,0
52,ภาคกลาง,สิงห์บุรี,เพื่อใช้ทำการเกษตร,13919.14,24892.4,10618,16297,6248,11606.4,21814.0,15610.0,18021.52,3
53,ภาคกลาง,สิงห์บุรี,เพื่อใช้ในการศึกษา,0.0,0.0,4600,2195,1639,3835.0,1795.7,2138.4,434.37,3
54,ภาคกลาง,สิงห์บุรี,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,26797.76,35252,13862,7383,28515.5,39440.5,35498.6,7511.48,0
55,ภาคกลาง,สิงห์บุรี,อื่น ๆ,23.03,1354.13,1420,1356,2012,16082.9,91.5,636.1,497.78,3
56,ภาคกลาง,ชัยนาท,หนี้สินทั้งสิ้น,63024.93,93763.07,98121,180175,146131,175956.8,264144.0,273336.0,286887.83,4
57,ภาคกลาง,ชัยนาท,เพื่อใช้จ่ายในครัวเรือน,37912.08,29607.12,32403,38552,37170,49599.2,57844.6,88226.0,71591.75,2
58,ภาคกลาง,ชัยนาท,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,4621.98,13382.47,9927,11564,10633,20955.3,132136.0,87791.6,54689.27,2
59,ภาคกลาง,ชัยนาท,เพื่อใช้ทำการเกษตร,19721.02,24799.22,26023,92238,45451,34008.2,37528.3,42003.0,78729.62,2
60,ภาคกลาง,ชัยนาท,เพื่อใช้ในการศึกษา,0.0,0.0,2147,2489,3277,7620.5,1084.5,7685.8,8971.31,3
61,ภาคกลาง,ชัยนาท,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,25577.3,25572,29757,46417,62784.6,35532.5,47436.9,72905.89,2
62,ภาคกลาง,ชัยนาท,อื่น ๆ,769.84,396.94,2048,5576,3185,989.0,18.2,192.7,0.0,3
63,ภาคกลาง,สระบุรี,หนี้สินทั้งสิ้น,74100.65,99882.89,111111,120194,148743,142503.9,248741.2,197695.5,286459.92,4
64,ภาคกลาง,สระบุรี,เพื่อใช้จ่ายในครัวเรือน,51496.52,33963.34,29125,52232,44570,67403.9,99079.0,94606.2,80715.15,2
65,ภาคกลาง,สระบุรี,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,15530.5,29380.02,14349,34579,33991,11613.0,29835.8,13295.0,33173.04,0
66,ภาคกลาง,สระบุรี,เพื่อใช้ทำการเกษตร,7031.02,15093.41,8162,3483,20978,18758.7,22627.9,15895.2,37516.64,0
67,ภาคกลาง,สระบุรี,เพื่อใช้ในการศึกษา,0.0,0.0,2153,972,1469,1215.5,1441.4,2296.4,1857.92,3
68,ภาคกลาง,สระบุรี,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,20166.85,57000,27027,47551,43512.9,95757.1,71602.7,132536.24,2
69,ภาคกลาง,สระบุรี,อื่น ๆ,42.58,1279.26,322,1902,184,0.0,0.0,0.0,660.93,3
70,ภาคกลาง,ชลบุรี,หนี้สินทั้งสิ้น,62990.63,204157.85,128114,139319,191149,186509.0,159083.7,149191.5,170022.64,1
71,ภาคกลาง,ชลบุรี,เพื่อใช้จ่ายในครัวเรือน,52109.02,41190.46,40867,66886,50818,46507.2,67208.4,72108.3,81276.07,2
72,ภาคกลาง,ชลบุรี,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,7646.75,5108.83,14112,14234,5615,837.5,2381.9,4648.8,330.76,3
73,ภาคกลาง,ชลบุรี,เพื่อใช้ทำการเกษตร,1324.3,5399.74,2075,4468,3607,1925.4,1128.1,892.8,652.63,3
74,ภาคกลาง,ชลบุรี,เพื่อใช้ในการศึกษา,0.0,0.0,1415,2739,1732,850.3,705.5,78.1,803.85,3
75,ภาคกลาง,ชลบุรี,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,151445.03,68328,50993,129377,136388.6,87532.4,71463.5,86959.33,2
76,ภาคกลาง,ชลบุรี,อื่น ๆ,1910.55,1013.77,1315,0,0,0.0,127.4,0.0,0.0,3
77,ภาคกลาง,ระยอง,หนี้สินทั้งสิ้น,63182.07,135491.74,114145,149593,144786,104910.4,171432.4,145526.8,124478.28,1
78,ภาคกลาง,ระยอง,เพื่อใช้จ่ายในครัวเรือน,42647.72,32960.63,39853,51050,49190,46867.2,58998.2,36753.2,42971.14,2
79,ภาคกลาง,ระยอง,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,7784.36,15612.43,6920,15850,17534,16874.2,30251.5,19775.6,13528.26,0
80,ภาคกลาง,ระยอง,เพื่อใช้ทำการเกษตร,12663.28,25225.71,11308,14289,16748,18328.6,12445.9,3548.4,2189.3,3
81,ภาคกลาง,ระยอง,เพื่อใช้ในการศึกษา,0.0,0.0,632,220,1014,0.0,39.8,0.0,223.48,3
82,ภาคกลาง,ระยอง,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,61689.42,54981,67985,60301,22316.8,69696.9,85438.4,65566.1,2
83,ภาคกลาง,ระยอง,อื่น ๆ,86.7,3.53,451,198,0,523.7,0.0,11.1,0.0,3
84,ภาคกลาง,จันทบุรี,หนี้สินทั้งสิ้น,145209.49,184233.23,176403,186301,125646,124265.5,110504.3,130258.2,186071.96,1
85,ภาคกลาง,จันทบุรี,เพื่อใช้จ่ายในครัวเรือน,41019.64,34513.82,44318,43417,40428,48390.3,44057.7,69832.7,72316.98,2
86,ภาคกลาง,จันทบุรี,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,57001.6,36498.8,45492,51366,15608,18036.9,11110.6,9880.5,14219.28,0
87,ภาคกลาง,จันทบุรี,เพื่อใช้ทำการเกษตร,47183.73,72039.55,53562,50427,34424,24999.5,28283.5,29273.1,51224.22,0
88,ภาคกลาง,จันทบุรี,เพื่อใช้ในการศึกษา,0.0,0.0,1049,2676,985,2095.7,1045.5,2112.6,567.89,3
89,ภาคกลาง,จันทบุรี,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,38886.78,30801,37282,32666,30086.2,26007.1,16929.8,45838.7,0
90,ภาคกลาง,จันทบุรี,อื่น ๆ,4.51,2294.26,1181,1132,1535,657.0,0.0,2229.6,1904.89,3
91,ภาคกลาง,ตราด,หนี้สินทั้งสิ้น,53276.45,86974.0,90976,122306,99210,91346.4,147138.7,147113.8,193674.99,1
92,ภาคกลาง,ตราด,เพื่อใช้จ่ายในครัวเรือน,30270.84,17526.02,26349,56609,36608,38257.2,58001.5,83337.0,86672.89,2
93,ภาคกลาง,ตราด,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,9600.24,21079.51,10333,13518,9735,14626.1,34209.7,5776.8,27591.57,0
94,ภาคกลาง,ตราด,เพื่อใช้ทำการเกษตร,13324.79,26251.6,30104,24023,28015,18395.8,18535.8,26157.1,33869.6,0
95,ภาคกลาง,ตราด,เพื่อใช้ในการศึกษา,0.0,0.0,1314,2822,4690,1595.8,615.2,757.2,2899.44,3
96,ภาคกลาง,ตราด,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,20892.91,22874,24711,19843,18471.4,35762.4,31085.7,42641.5,0
97,ภาคกลาง,ตราด,อื่น ๆ,80.56,1223.94,4,622,318,0.0,14.1,0.0,0.0,3
98,ภาคกลาง,ฉะเชิงเทรา,หนี้สินทั้งสิ้น,122392.6,162526.92,77611,151115,95398,102745.4,217297.6,75443.1,80062.22,1
99,ภาคกลาง,ฉะเชิงเทรา,เพื่อใช้จ่ายในครัวเรือน,75792.19,25825.02,23034,16527,31719,37813.8,66998.0,53027.6,44365.22,2
100,ภาคกลาง,ฉะเชิงเทรา,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,15868.6,10437.79,6997,5855,11371,7179.9,19988.6,3372.0,3194.95,3
101,ภาคกลาง,ฉะเชิงเทรา,เพื่อใช้ทำการเกษตร,30074.28,33988.45,22286,84139,26587,22559.7,11690.1,5836.2,17986.39,0
102,ภาคกลาง,ฉะเชิงเทรา,เพื่อใช้ในการศึกษา,0.0,0.0,1677,949,1360,477.5,676.6,1554.0,277.2,3
103,ภาคกลาง,ฉะเชิงเทรา,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,89486.11,17891,43139,24203,34639.6,117780.4,11653.3,14238.46,0
104,ภาคกลาง,ฉะเชิงเทรา,อื่น ๆ,657.52,2789.53,5727,507,158,74.9,163.9,0.0,0.0,3
105,ภาคกลาง,ปราจีนบุรี,หนี้สินทั้งสิ้น,48791.41,86163.29,96975,120822,175679,127503.1,110519.1,161432.8,135499.3,1
106,ภาคกลาง,ปราจีนบุรี,เพื่อใช้จ่ายในครัวเรือน,29032.82,30163.69,29220,36061,59342,72411.2,49914.5,67125.7,51096.86,2
107,ภาคกลาง,ปราจีนบุรี,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,9505.34,10954.59,6610,24783,34992,10549.4,5855.8,17135.8,11374.92,3
108,ภาคกลาง,ปราจีนบุรี,เพื่อใช้ทำการเกษตร,10173.2,15222.47,22915,34901,21690,12612.7,14265.5,48175.9,26602.01,0
109,ภาคกลาง,ปราจีนบุรี,เพื่อใช้ในการศึกษา,0.0,0.0,4643,4030,3653,8652.7,1202.7,131.8,1916.43,3
110,ภาคกลาง,ปราจีนบุรี,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,29384.51,31221,19300,55711,21064.6,39280.6,28607.6,44509.09,0
111,ภาคกลาง,ปราจีนบุรี,อื่น ๆ,80.04,438.01,2366,1747,290,2212.6,0.0,255.9,0.0,3
112,ภาคกลาง,นครนายก,หนี้สินทั้งสิ้น,62397.19,100836.34,96838,98113,79420,77090.8,134040.0,144657.3,112919.58,1
113,ภาคกลาง,นครนายก,เพื่อใช้จ่ายในครัวเรือน,22471.94,29425.81,26971,30500,33862,21847.3,42787.7,62550.2,64349.01,0
114,ภาคกลาง,นครนายก,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,12607.65,17857.73,14081,9198,3707,4731.6,24679.7,13853.6,13948.85,3
115,ภาคกลาง,นครนายก,เพื่อใช้ทำการเกษตร,26368.59,20460.89,29142,17846,26968,42746.3,21293.3,9253.6,18218.5,0
116,ภาคกลาง,นครนายก,เพื่อใช้ในการศึกษา,0.0,0.0,4124,2389,446,1612.4,0.0,1126.0,535.33,3
117,ภาคกลาง,นครนายก,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,31294.97,17932,31522,13482,5245.2,44497.1,50820.9,15599.03,0
118,ภาคกลาง,นครนายก,อื่น ๆ,948.99,1796.93,4589,6658,955,908.0,782.2,7053.0,268.85,3
119,ภาคกลาง,สระแก้ว,หนี้สินทั้งสิ้น,69543.05,64943.26,88116,101281,105886,106147.1,166090.3,249126.9,169875.58,1
120,ภาคกลาง,สระแก้ว,เพื่อใช้จ่ายในครัวเรือน,22409.11,19815.05,35231,43520,39364,46933.3,51241.8,144502.2,71272.14,2
121,ภาคกลาง,สระแก้ว,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,25827.35,13695.09,7634,13540,10360,9004.9,15561.4,26256.4,12159.17,3
122,ภาคกลาง,สระแก้ว,เพื่อใช้ทำการเกษตร,17167.27,17374.14,29670,25075,38691,31128.7,47466.1,43752.8,65672.63,0
123,ภาคกลาง,สระแก้ว,เพื่อใช้ในการศึกษา,0.0,0.0,1131,4886,332,2008.5,1317.1,5601.4,2829.83,3
124,ภาคกลาง,สระแก้ว,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,12334.16,8393,10722,16643,11603.8,36555.3,28381.0,17030.98,0
125,ภาคกลาง,สระแก้ว,อื่น ๆ,4139.31,1724.79,6058,3539,496,5467.9,13948.7,633.1,910.82,3
126,ภาคกลาง,ราชบุรี,หนี้สินทั้งสิ้น,98283.43,106568.4,110017,96086,121084,116257.2,192593.4,104894.4,255929.54,1
127,ภาคกลาง,ราชบุรี,เพื่อใช้จ่ายในครัวเรือน,77336.5,42932.61,23480,24213,41518,33172.5,65184.8,49266.6,85216.59,2
128,ภาคกลาง,ราชบุรี,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,13812.74,11281.01,36104,13966,27181,25879.2,67321.4,9085.0,33343.65,0
129,ภาคกลาง,ราชบุรี,เพื่อใช้ทำการเกษตร,5647.06,10919.73,19332,11723,8677,22524.3,13692.9,5848.9,16150.64,3
130,ภาคกลาง,ราชบุรี,เพื่อใช้ในการศึกษา,0.0,0.0,4458,5092,4343,2822.7,2785.4,813.6,2181.76,3
131,ภาคกลาง,ราชบุรี,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,41023.44,26418,40497,37225,31765.9,43519.7,39822.6,110730.16,2
132,ภาคกลาง,ราชบุรี,อื่น ๆ,1487.12,411.58,225,596,2140,92.6,89.2,57.7,8306.75,3
133,ภาคกลาง,กาญจนบุรี,หนี้สินทั้งสิ้น,86943.13,62815.8,114158,91113,107527,68785.6,105780.2,89861.9,157164.45,1
134,ภาคกลาง,กาญจนบุรี,เพื่อใช้จ่ายในครัวเรือน,32402.48,13560.8,27163,28044,31141,20913.6,21466.3,19690.6,69424.49,0
135,ภาคกลาง,กาญจนบุรี,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,12780.83,7348.99,18339,15280,7384,3849.4,12098.9,12389.5,14566.22,3
136,ภาคกลาง,กาญจนบุรี,เพื่อใช้ทำการเกษตร,40876.98,27501.59,29777,23993,31585,24501.1,27245.8,20112.4,35455.39,0
137,ภาคกลาง,กาญจนบุรี,เพื่อใช้ในการศึกษา,0.0,0.0,1548,2712,2869,3461.5,4268.7,1176.9,4336.18,3
138,ภาคกลาง,กาญจนบุรี,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,14156.61,32815,20810,24688,14306.9,40052.9,35290.5,33380.9,0
139,ภาคกลาง,กาญจนบุรี,อื่น ๆ,882.83,247.79,4516,273,9861,1753.1,647.6,1201.9,1.28,3
140,ภาคกลาง,สุพรรณบุรี,หนี้สินทั้งสิ้น,41290.38,135261.93,93851,80475,63524,53264.9,36593.0,50553.1,45861.04,2
141,ภาคกลาง,สุพรรณบุรี,เพื่อใช้จ่ายในครัวเรือน,18613.59,24665.48,18666,15881,7713,9913.5,5136.6,15175.4,11710.72,3
142,ภาคกลาง,สุพรรณบุรี,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,5884.82,26458.27,10369,15243,10693,8544.1,4021.0,2461.8,4141.21,3
143,ภาคกลาง,สุพรรณบุรี,เพื่อใช้ทำการเกษตร,16373.36,46670.12,26863,22392,25303,24232.7,21934.0,16449.3,23838.31,0
144,ภาคกลาง,สุพรรณบุรี,เพื่อใช้ในการศึกษา,0.0,0.0,1394,1645,558,0.0,0.0,593.0,489.21,3
145,ภาคกลาง,สุพรรณบุรี,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,36833.07,35209,25104,18462,9757.9,5398.0,15179.8,5276.36,0
146,ภาคกลาง,สุพรรณบุรี,อื่น ๆ,418.6,634.96,1350,210,794,816.6,103.5,693.7,405.24,3
147,ภาคกลาง,นครปฐม,หนี้สินทั้งสิ้น,124110.63,174832.09,167798,100110,101030,59484.4,175893.9,153504.0,75904.34,1
148,ภาคกลาง,นครปฐม,เพื่อใช้จ่ายในครัวเรือน,92985.73,36441.75,17894,24825,20330,22071.5,48430.7,55638.3,46341.43,0
149,ภาคกลาง,นครปฐม,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,14497.66,25911.38,59142,11749,15576,10317.5,8794.0,22321.5,5024.39,0
150,ภาคกลาง,นครปฐม,เพื่อใช้ทำการเกษตร,13437.97,46591.04,35733,18249,7261,8089.6,16850.1,22494.5,6675.0,0
151,ภาคกลาง,นครปฐม,เพื่อใช้ในการศึกษา,0.0,0.0,784,775,2036,456.4,103.5,3131.4,1716.1,3
152,ภาคกลาง,นครปฐม,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,61602.86,51252,44496,55423,14804.8,101625.0,49842.9,16102.12,0
153,ภาคกลาง,นครปฐม,อื่น ๆ,3189.25,4285.05,2992,16,404,3744.6,90.6,75.4,45.3,3
154,ภาคกลาง,สมุทรสาคร,หนี้สินทั้งสิ้น,131560.68,64616.07,138320,69569,133793,104821.6,56367.4,128830.4,104677.28,1
155,ภาคกลาง,สมุทรสาคร,เพื่อใช้จ่ายในครัวเรือน,75667.61,18381.62,33588,27881,39405,22573.1,15864.3,39715.0,21488.12,0
156,ภาคกลาง,สมุทรสาคร,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,46945.95,6993.37,29901,2537,45294,1328.6,21505.9,809.1,5052.97,3
157,ภาคกลาง,สมุทรสาคร,เพื่อใช้ทำการเกษตร,8700.65,6826.01,7391,5986,7195,9445.5,988.9,788.6,654.45,3
158,ภาคกลาง,สมุทรสาคร,เพื่อใช้ในการศึกษา,0.0,0.0,913,1138,1973,90.1,1232.0,520.2,265.3,3
159,ภาคกลาง,สมุทรสาคร,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,32415.06,63903,32026,39903,71361.4,16776.2,86803.6,77088.09,2
160,ภาคกลาง,สมุทรสาคร,อื่น ๆ,246.45,0.0,2624,0,24,22.8,0.0,193.8,128.36,3
161,ภาคกลาง,สมุทรสงคราม,หนี้สินทั้งสิ้น,48362.89,23532.65,8411,5778,27061,9244.0,9857.2,8089.8,130743.39,0
162,ภาคกลาง,สมุทรสงคราม,เพื่อใช้จ่ายในครัวเรือน,17148.27,8491.04,1376,1266,17077,5686.6,657.9,684.0,45884.53,3
163,ภาคกลาง,สมุทรสงคราม,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,19797.3,3744.09,3767,630,2097,2761.9,5017.5,76.9,15379.27,3
164,ภาคกลาง,สมุทรสงคราม,เพื่อใช้ทำการเกษตร,11417.31,1118.5,1066,329,288,220.6,15.7,336.1,15333.14,3
165,ภาคกลาง,สมุทรสงคราม,เพื่อใช้ในการศึกษา,0.0,0.0,416,555,215,0.0,9.9,22.9,705.05,3
166,ภาคกลาง,สมุทรสงคราม,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,8721.85,1717,2911,6769,574.9,4156.2,6969.9,53429.61,3
167,ภาคกลาง,สมุทรสงคราม,อื่น ๆ,0.0,1457.15,69,87,614,0.0,0.0,0.0,11.79,3
168,ภาคกลาง,เพชรบุรี,หนี้สินทั้งสิ้น,94256.83,82149.75,85158,76667,70298,125291.2,109519.0,170521.8,226174.5,1
169,ภาคกลาง,เพชรบุรี,เพื่อใช้จ่ายในครัวเรือน,53272.02,26167.77,37560,29550,26872,47528.2,56629.8,64260.1,69601.36,2
170,ภาคกลาง,เพชรบุรี,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,7946.45,13325.36,14369,18785,16265,26382.4,11634.6,23928.0,17224.62,0
171,ภาคกลาง,เพชรบุรี,เพื่อใช้ทำการเกษตร,32873.78,29283.79,18675,15121,15229,9654.9,11128.3,27835.6,29757.74,0
